,AvailabilityZone,InstanceType,OnDemand,yrTerm1Standard.allUpfront,yrTerm1Standard.noUpfront,yrTerm1Standard.partialUpfront,yrTerm3Convertible.allUpfront,yrTerm3Convertible.noUpfront,yrTerm3Convertible.partialUpfront,yrTerm3Standard.allUpfront,yrTerm3Standard.partialUpfront
187,us-west-2,m4.10xlarge,2.155,1.240,1.480,1.265,1.116,1.332,1.139,0.804,0.855
188,us-west-1,m4.10xlarge,2.514,1.709,2.040,1.744,1.538,1.836,1.570,1.093,1.163
189,eu-west-1,m4.10xlarge,2.377,1.508,1.801,1.539,1.357,1.621,1.385,1.028,1.094
190,eu-central-1,m4.10xlarge,2.565,1.642,1.961,1.676,1.478,1.765,1.508,1.125,1.197
191,ap-southeast-1,m4.10xlarge,2.665,1.564,1.867,1.596,1.408,1.680,1.436,0.992,1.055
192,ap-northeast-1,m4.10xlarge,2.782,1.734,2.070,1.769,1.561,1.863,1.592,1.205,1.282
193,ap-northeast-2,m4.10xlarge,2.642,1.474,1.760,1.504,1.327,1.584,1.354,1.024,1.089
194,ap-southeast-2,m4.10xlarge,2.69,1.693,2.022,1.728,1.524,1.820,1.555,1.123,1.195
195,sa-east-1,m4.10xlarge,3.425,1.828,2.182,1.865,1.645,1.964,1.679,1.302,1.385
196,us-east-1,m4.16xlarge,3.447,1.984,2.369,2.025,1.786,2.132,1.823,1.286,1.368
197,us-west-2,m4.16xlarge,3.447,1.984,2.369,2.025,1.786,2.132,1.823,1.286,1.368
198,us-west-1,m4.16xlarge,4.022,2.735,3.265,2.791,2.462,2.939,2.512,1.748,1.860
199,eu-west-1,m4.16xlarge,3.803,2.413,2.881,2.462,2.172,2.593,2.216,1.646,1.751
200,eu-central-1,m4.16xlarge,4.104,2.627,3.137,2.681,2.364,2.823,2.413,1.800,1.915
201,ap-southeast-1,m4.16xlarge,4.264,2.503,2.988,2.554,2.253,2.689,2.299,1.587,1.688
202,ap-northeast-1,m4.16xlarge,4.45,2.773,3.311,2.830,2.496,2.980,2.547,1.928,2.051
203,ap-northeast-2,m4.16xlarge,4.228,2.358,2.815,2.406,2.122,2.534,2.165,1.638,1.743
204,ap-southeast-2,m4.16xlarge,4.305,2.710,3.235,2.765,2.439,2.912,2.489,1.798,1.913
205,sa-east-1,m4.16xlarge,5.48,2.924,3.491,2.984,2.632,3.142,2.686,2.083,2.216
206,us-east-1,m2.xlarge,0.245,0.093,0.111,0.095,,,,0.056,0.059
207,us-west-2,m2.xlarge,0.245,0.093,0.111,0.095,,,,0.056,0.059
208,us-west-1,m2.xlarge,0.275,0.113,0.134,0.115,,,,0.072,0.076
209,eu-west-1,m2.xlarge,0.275,0.113,0.134,0.115,,,,0.073,0.077
210,ap-southeast-1,m2.xlarge,0.296,0.125,0.148,0.127,,,,0.080,0.085
211,ap-northeast-1,m2.xlarge,0.287,0.127,0.151,0.129,,,,0.082,0.087
212,ap-southeast-2,m2.xlarge,0.296,0.125,0.148,0.127,,,,0.080,0.085
213,sa-east-1,m2.xlarge,0.323,0.108,0.129,0.111,,,,0.077,0.082
214,us-east-1,m2.2xlarge,0.49,0.186,0.222,0.190,,,,0.112,0.119
215,us-west-2,m2.2xlarge,0.49,0.186,0.222,0.190,,,,0.112,0.119
216,us-west-1,m2.2xlarge,0.55,0.226,0.268,0.230,,,,0.144,0.153
217,eu-west-1,m2.2xlarge,0.55,0.226,0.268,0.230,,,,0.145,0.155
218,ap-southeast-1,m2.2xlarge,0.592,0.250,0.296,0.255,,,,0.160,0.170
219,ap-northeast-1,m2.2xlarge,0.575,0.255,0.302,0.260,,,,0.163,0.174
220,ap-southeast-2,m2.2xlarge,0.592,0.250,0.296,0.255,,,,0.160,0.170
221,sa-east-1,m2.2xlarge,0.645,0.218,0.258,0.222,,,,0.155,0.165
222,us-east-1,m2.4xlarge,0.98,0.372,0.444,0.379,,,,0.222,0.236
223,us-west-2,m2.4xlarge,0.98,0.372,0.444,0.379,,,,0.222,0.236
224,us-west-1,m2.4xlarge,1.1,0.452,0.536,0.461,,,,0.288,0.306
225,eu-west-1,m2.4xlarge,1.1,0.452,0.536,0.461,,,,0.290,0.308
226,ap-southeast-1,m2.4xlarge,1.183,0.501,0.592,0.511,,,,0.320,0.340
227,ap-northeast-1,m2.4xlarge,1.15,0.507,0.604,0.518,,,,0.325,0.346
228,ap-southeast-2,m2.4xlarge,1.183,0.501,0.592,0.511,,,,0.320,0.340
229,sa-east-1,m2.4xlarge,1.291,0.435,0.516,0.444,,,,0.309,0.329
230,us-east-1,cr1.8xlarge,3.5,1.415,1.689,1.444,,,,0.850,0.904
231,us-west-2,cr1.8xlarge,3.5,1.415,1.689,1.444,,,,0.850,0.904
232,eu-west-1,cr1.8xlarge,3.75,1.535,1.832,1.566,,,,1.090,1.160
233,ap-northeast-1,cr1.8xlarge,4.105,1.748,2.086,1.784,,,,1.242,1.322
234,us-east-1,r3.large,0.166,0.088,0.105,0.090,0.079,0.095,0.081,0.058,0.062
235,us-west-2,r3.large,0.166,0.088,0.105,0.090,0.079,0.095,0.081,0.058,0.062
236,us-west-1,r3.large,0.185,0.114,0.136,0.117,0.103,0.122,0.105,0.076,0.080
237,eu-west-1,r3.large,0.185,0.114,0.136,0.117,0.103,0.122,0.105,0.076,0.080
238,eu-central-1,r3.large,0.2,0.123,0.146,0.126,0.111,0.131,0.113,0.082,0.087
239,ap-southeast-1,r3.large,0.2,0.127,0.149,0.130,0.114,0.134,0.117,0.084,0.090
240,ap-northeast-1,r3.large,0.2,0.127,0.149,0.130,0.114,0.134,0.117,0.084,0.090
241,ap-northeast-2,r3.large,0.2,0.127,0.152,0.130,0.115,0.137,0.117,0.085,0.090
242,ap-southeast-2,r3.large,0.2,0.127,0.149,0.130,0.114,0.134,0.117,0.084,0.090
243,sa-east-1,r3.large,0.35,0.223,0.267,0.228,0.201,0.240,0.205,0.148,0.157
244,us-east-1,r3.xlarge,0.333,0.176,0.209,0.180,0.159,0.188,0.162,0.117,0.124
245,us-west-2,r3.xlarge,0.333,0.176,0.209,0.180,0.159,0.188,0.162,0.117,0.124
246,us-west-1,r3.xlarge,0.371,0.228,0.272,0.233,0.205,0.245,0.210,0.151,0.161
247,eu-west-1,r3.xlarge,0.371,0.228,0.272,0.233,0.205,0.245,0.210,0.151,0.161
248,eu-central-1,r3.xlarge,0.4,0.246,0.293,0.252,0.222,0.264,0.227,0.163,0.174
249,ap-southeast-1,r3.xlarge,0.399,0.255,0.298,0.260,0.229,0.268,0.234,0.168,0.178
250,ap-northeast-1,r3.xlarge,0.399,0.255,0.298,0.260,0.229,0.268,0.234,0.168,0.178
251,ap-northeast-2,r3.xlarge,0.399,0.255,0.304,0.260,0.229,0.274,0.234,0.167,0.178
252,ap-southeast-2,r3.xlarge,0.399,0.255,0.298,0.260,0.229,0.268,0.234,0.168,0.178
253,sa-east-1,r3.xlarge,0.7,0.447,0.534,0.456,0.402,0.481,0.410,0.295,0.314
254,us-east-1,r3.2xlarge,0.665,0.353,0.418,0.360,0.317,0.376,0.324,0.233,0.248
255,us-west-2,r3.2xlarge,0.665,0.353,0.418,0.360,0.317,0.376,0.324,0.233,0.248
256,us-west-1,r3.2xlarge,0.741,0.457,0.543,0.466,0.411,0.489,0.419,0.303,0.322
257,eu-west-1,r3.2xlarge,0.741,0.457,0.543,0.466,0.411,0.489,0.419,0.303,0.322
258,eu-central-1,r3.2xlarge,0.8,0.493,0.585,0.503,0.444,0.527,0.452,0.327,0.347
259,ap-southeast-1,r3.2xlarge,0.798,0.509,0.597,0.519,0.458,0.537,0.467,0.335,0.357
260,ap-northeast-1,r3.2xlarge,0.798,0.509,0.597,0.519,0.458,0.537,0.467,0.335,0.357
261,ap-northeast-2,r3.2xlarge,0.798,0.509,0.607,0.519,0.458,0.546,0.467,0.336,0.357
262,ap-southeast-2,r3.2xlarge,0.798,0.509,0.597,0.519,0.458,0.537,0.467,0.335,0.357
263,sa-east-1,r3.2xlarge,1.399,0.894,1.067,0.912,0.805,0.960,0.821,0.589,0.627
264,us-east-1,r3.4xlarge,1.33,0.706,0.836,0.720,0.635,0.752,0.648,0.467,0.497
265,us-west-2,r3.4xlarge,1.33,0.706,0.836,0.720,0.635,0.752,0.648,0.467,0.497
266,us-west-1,r3.4xlarge,1.482,0.913,1.087,0.932,0.822,0.978,0.839,0.605,0.643
267,eu-west-1,r3.4xlarge,1.482,0.913,1.087,0.932,0.822,0.978,0.839,0.605,0.643
268,eu-central-1,r3.4xlarge,1.6,0.986,1.170,1.007,0.888,1.053,0.906,0.654,0.695
269,ap-southeast-1,r3.4xlarge,1.596,1.018,1.193,1.039,0.916,1.074,0.935,0.671,0.714
270,ap-northeast-1,r3.4xlarge,1.596,1.018,1.193,1.039,0.916,1.074,0.935,0.671,0.714
271,ap-northeast-2,r3.4xlarge,1.596,1.018,1.216,1.039,0.916,1.094,0.935,0.671,0.714
272,ap-southeast-2,r3.4xlarge,1.596,1.018,1.193,1.039,0.916,1.074,0.935,0.671,0.714
273,sa-east-1,r3.4xlarge,2.799,1.788,2.134,1.824,1.609,1.921,1.642,1.179,1.254
274,us-east-1,r3.8xlarge,2.66,1.411,1.672,1.441,1.270,1.505,1.297,0.933,0.993
275,us-west-2,r3.8xlarge,2.66,1.411,1.672,1.441,1.270,1.505,1.297,0.933,0.993
276,us-west-1,r3.8xlarge,2.964,1.827,2.174,1.864,1.644,1.957,1.678,1.210,1.288
277,eu-west-1,r3.8xlarge,2.964,1.827,2.174,1.864,1.644,1.957,1.678,1.210,1.288
278,eu-central-1,r3.8xlarge,3.201,1.973,2.341,2.013,1.775,2.107,1.812,1.307,1.391
279,ap-southeast-1,r3.8xlarge,3.192,2.036,2.386,2.078,1.833,2.147,1.870,1.342,1.427
280,ap-northeast-1,r3.8xlarge,3.192,2.036,2.386,2.078,1.833,2.147,1.870,1.342,1.427
281,ap-northeast-2,r3.8xlarge,3.192,2.036,2.431,2.078,1.833,2.188,1.870,1.341,1.427
282,ap-southeast-2,r3.8xlarge,3.192,2.036,2.386,2.078,1.833,2.147,1.870,1.342,1.427
283,sa-east-1,r3.8xlarge,5.597,3.575,4.268,3.648,3.218,3.841,3.283,2.358,2.508
284,us-east-1,r4.large,0.133,0.078,0.093,0.080,0.070,0.084,0.072,0.050,0.053
285,us-west-2,r4.large,0.133,0.078,0.093,0.080,0.070,0.084,0.072,0.050,0.053
286,us-west-1,r4.large,0.148,0.087,0.104,0.089,0.078,0.094,0.080,0.056,0.059
287,eu-west-1,r4.large,0.148,0.087,0.104,0.089,0.078,0.094,0.080,0.056,0.059
288,eu-central-1,r4.large,0.16,0.094,0.112,0.096,0.085,0.101,0.086,0.060,0.064
289,ap-southeast-2,r4.large,0.16,0.094,0.112,0.096,0.084,0.101,0.086,0.060,0.064
290,us-east-1,r4.xlarge,0.266,0.156,0.187,0.160,0.141,0.168,0.144,0.100,0.106
291,us-west-2,r4.xlarge,0.266,0.156,0.187,0.160,0.141,0.168,0.144,0.100,0.106
292,us-west-1,r4.xlarge,0.296,0.174,0.208,0.178,0.157,0.187,0.160,0.111,0.119
293,eu-west-1,r4.xlarge,0.296,0.174,0.208,0.178,0.157,0.187,0.160,0.111,0.119
294,eu-central-1,r4.xlarge,0.32,0.188,0.225,0.192,0.169,0.202,0.173,0.120,0.128
295,ap-southeast-2,r4.xlarge,0.319,0.188,0.224,0.192,0.169,0.202,0.172,0.120,0.128
296,us-east-1,r4.2xlarge,0.532,0.313,0.373,0.319,0.282,0.336,0.287,0.200,0.213
297,us-west-2,r4.2xlarge,0.532,0.313,0.373,0.319,0.282,0.336,0.287,0.200,0.213
298,us-west-1,r4.2xlarge,0.593,0.349,0.416,0.356,0.314,0.375,0.320,0.223,0.237
299,eu-west-1,r4.2xlarge,0.593,0.349,0.416,0.356,0.314,0.375,0.320,0.223,0.237
300,eu-central-1,r4.2xlarge,0.64,0.376,0.449,0.384,0.339,0.404,0.346,0.241,0.256
301,ap-southeast-2,r4.2xlarge,0.638,0.375,0.448,0.383,0.338,0.403,0.345,0.240,0.255
302,us-east-1,r4.4xlarge,1.064,0.626,0.747,0.638,0.563,0.672,0.575,0.400,0.426
303,us-west-2,r4.4xlarge,1.064,0.626,0.747,0.638,0.563,0.672,0.575,0.400,0.426
304,us-west-1,r4.4xlarge,1.186,0.697,0.832,0.711,0.627,0.749,0.640,0.446,0.474
305,eu-west-1,r4.4xlarge,1.186,0.697,0.832,0.711,0.627,0.749,0.640,0.446,0.474
306,eu-central-1,r4.4xlarge,1.28,0.753,0.899,0.768,0.678,0.809,0.691,0.481,0.512
307,ap-southeast-2,r4.4xlarge,1.277,0.751,0.896,0.766,0.676,0.807,0.689,0.480,0.511
308,us-east-1,r4.8xlarge,2.128,1.251,1.494,1.277,1.126,1.344,1.149,0.800,0.851
309,us-west-2,r4.8xlarge,2.128,1.251,1.494,1.277,1.126,1.344,1.149,0.800,0.851
310,us-west-1,r4.8xlarge,2.371,1.394,1.665,1.423,1.255,1.498,1.280,0.892,0.948
311,eu-west-1,r4.8xlarge,2.371,1.394,1.665,1.423,1.255,1.498,1.280,0.892,0.948
312,eu-central-1,r4.8xlarge,2.561,1.506,1.798,1.536,1.355,1.618,1.383,0.963,1.024
313,ap-southeast-2,r4.8xlarge,2.554,1.502,1.793,1.532,1.351,1.613,1.379,0.960,1.021
314,us-east-1,r4.16xlarge,4.256,2.503,2.988,2.554,2.252,2.689,2.298,1.600,1.702
315,us-west-2,r4.16xlarge,4.256,2.503,2.988,2.554,2.252,2.689,2.298,1.600,1.702
316,us-west-1,r4.16xlarge,4.742,2.789,3.329,2.845,2.510,2.996,2.561,1.783,1.897
317,eu-west-1,r4.16xlarge,4.742,2.789,3.329,2.845,2.510,2.996,2.561,1.783,1.897
318,eu-central-1,r4.16xlarge,5.122,3.012,3.595,3.073,2.710,3.236,2.766,1.926,2.049
319,ap-southeast-2,r4.16xlarge,5.107,3.003,3.585,3.064,2.703,3.227,2.758,1.920,2.043
320,us-east-1,x1.16xlarge,6.669,3.836,4.579,3.914,3.452,4.121,3.523,1.866,1.985
321,us-west-2,x1.16xlarge,6.669,3.836,4.579,3.914,3.452,4.121,3.523,1.866,1.985
322,eu-west-1,x1.16xlarge,8.003,4.603,5.495,4.697,4.143,4.946,4.227,2.239,2.382
323,eu-central-1,x1.16xlarge,9.337,5.370,6.412,5.480,4.833,5.770,4.932,2.612,2.779
324,ap-southeast-1,x1.16xlarge,9.671,5.562,6.640,5.675,5.005,5.976,5.108,2.706,2.879
325,ap-northeast-1,x1.16xlarge,9.671,5.562,6.640,5.675,5.005,5.976,5.108,2.706,2.879
326,ap-northeast-2,x1.16xlarge,9.671,5.562,6.640,5.675,5.005,5.976,5.108,2.706,2.879
327,ap-southeast-2,x1.16xlarge,9.671,5.562,6.640,5.675,5.005,5.976,5.108,2.706,2.879
328,us-east-1,x1.32xlarge,13.338,7.671,9.158,7.828,6.904,8.242,7.045,3.732,3.970
329,us-west-2,x1.32xlarge,13.338,7.671,9.158,7.828,6.904,8.242,7.045,3.732,3.970
330,eu-west-1,x1.32xlarge,16.006,9.205,10.990,9.393,8.285,9.891,8.454,4.478,4.764
331,eu-central-1,x1.32xlarge,18.674,10.740,12.822,10.959,9.666,11.540,9.863,5.225,5.558
332,ap-southeast-1,x1.32xlarge,19.341,11.123,13.280,11.350,10.011,11.952,10.215,5.411,5.757
333,ap-northeast-1,x1.32xlarge,19.341,11.123,13.280,11.350,10.011,11.952,10.215,5.411,5.757
334,ap-northeast-2,x1.32xlarge,19.341,11.123,13.279,11.350,10.011,11.952,10.215,5.412,5.757
335,ap-southeast-2,x1.32xlarge,19.341,11.123,13.280,11.350,10.011,11.952,10.215,5.411,5.757
336,us-east-1,i2.xlarge,0.853,0.356,0.424,0.363,0.320,0.382,0.327,0.212,0.225
337,us-west-2,i2.xlarge,0.853,0.356,0.424,0.363,0.320,0.382,0.327,0.212,0.225
338,us-west-1,i2.xlarge,0.938,0.432,0.515,0.441,0.389,0.464,0.397,0.273,0.290
339,eu-west-1,i2.xlarge,0.938,0.432,0.515,0.441,0.389,0.464,0.397,0.273,0.290
340,eu-central-1,i2.xlarge,1.013,0.466,0.556,0.476,0.420,0.500,0.428,0.295,0.314
341,ap-southeast-1,i2.xlarge,1.018,0.512,0.610,0.522,0.460,0.549,0.470,0.305,0.324
342,ap-northeast-1,i2.xlarge,1.001,0.522,0.623,0.533,0.470,0.561,0.480,0.310,0.330
343,ap-northeast-2,i2.xlarge,1.001,0.522,0.623,0.533,0.470,0.561,0.480,0.310,0.330
344,ap-southeast-2,i2.xlarge,1.018,0.512,0.610,0.522,0.460,0.549,0.470,0.305,0.324
345,us-east-1,i2.2xlarge,1.705,0.712,0.848,0.727,0.641,0.763,0.654,0.423,0.450
346,us-west-2,i2.2xlarge,1.705,0.712,0.848,0.727,0.641,0.763,0.654,0.423,0.450
347,us-west-1,i2.2xlarge,1.876,0.864,1.030,0.882,0.777,0.927,0.793,0.545,0.580
348,eu-west-1,i2.2xlarge,1.876,0.864,1.030,0.882,0.777,0.927,0.793,0.545,0.580
349,eu-central-1,i2.2xlarge,2.026,0.933,1.112,0.952,0.840,1.001,0.857,0.588,0.626
350,ap-southeast-1,i2.2xlarge,2.035,1.026,1.220,1.046,0.923,1.098,0.942,0.608,0.647
351,ap-northeast-1,i2.2xlarge,2.001,1.044,1.246,1.066,0.940,1.121,0.959,0.619,0.659
352,ap-northeast-2,i2.2xlarge,2.001,1.044,1.247,1.066,0.940,1.122,0.959,0.619,0.659
353,ap-southeast-2,i2.2xlarge,2.035,1.026,1.220,1.046,0.923,1.098,0.942,0.608,0.647
354,us-east-1,i2.4xlarge,3.41,1.423,1.696,1.452,1.281,1.526,1.307,0.845,0.899
355,us-west-2,i2.4xlarge,3.41,1.423,1.696,1.452,1.281,1.526,1.307,0.845,0.899
356,us-west-1,i2.4xlarge,3.751,1.727,2.060,1.762,1.554,1.854,1.586,1.090,1.159
357,eu-west-1,i2.4xlarge,3.751,1.727,2.060,1.762,1.554,1.854,1.586,1.090,1.159
358,eu-central-1,i2.4xlarge,4.051,1.865,2.224,1.903,1.678,2.002,1.713,1.177,1.252
359,ap-southeast-1,i2.4xlarge,4.07,2.049,2.440,2.091,1.844,2.196,1.882,1.217,1.295
360,ap-northeast-1,i2.4xlarge,4.002,2.086,2.492,2.129,1.878,2.243,1.916,1.240,1.319
361,ap-northeast-2,i2.4xlarge,4.002,2.086,2.491,2.129,1.878,2.242,1.916,1.240,1.319
362,ap-southeast-2,i2.4xlarge,4.07,2.049,2.440,2.091,1.844,2.196,1.882,1.217,1.295
363,us-east-1,i2.8xlarge,6.82,2.846,3.392,2.904,2.561,3.053,2.614,1.690,1.798
364,us-west-2,i2.8xlarge,6.82,2.846,3.392,2.904,2.561,3.053,2.614,1.690,1.798
365,us-west-1,i2.8xlarge,7.502,3.454,4.120,3.524,3.108,3.708,3.172,2.179,2.318
366,eu-west-1,i2.8xlarge,7.502,3.454,4.120,3.524,3.108,3.708,3.172,2.179,2.318
367,eu-central-1,i2.8xlarge,8.102,3.730,4.448,3.806,3.357,4.003,3.425,2.353,2.504
368,ap-southeast-1,i2.8xlarge,8.14,4.098,4.880,4.181,3.688,4.392,3.763,2.434,2.589
369,ap-northeast-1,i2.8xlarge,8.004,4.174,4.984,4.260,3.757,4.486,3.834,2.479,2.637
370,ap-northeast-2,i2.8xlarge,8.004,4.175,4.984,4.260,3.757,4.485,3.834,2.479,2.637
371,ap-southeast-2,i2.8xlarge,8.14,4.098,4.880,4.181,3.688,4.392,3.763,2.434,2.589
